country_code,country,year,slum_pct,urban_pop,slum_population,start_year,end_year,slum_change_total,urban_growth_total,slum_population_change_total
ABW,Aruba,2006,0.0,64426.0,0.0,2000,2022,0.0,12.164924074793507,0.0
ABW,Aruba,2008,0.0,65080.0,0.0,2000,2022,0.0,12.164924074793507,0.0
ABW,Aruba,2010,0.0,65341.0,0.0,2000,2022,0.0,12.164924074793507,0.0
ABW,Aruba,2012,0.0,66448.0,0.0,2000,2022,0.0,12.164924074793507,0.0
ABW,Aruba,2014,0.0,67758.0,0.0,2000,2022,0.0,12.164924074793507,0.0
ABW,Aruba,2016,0.0,68506.0,0.0,2000,2022,0.0,12.164924074793507,0.0
ABW,Aruba,2018,0.0,68108.0,0.0,2000,2022,0.0,12.164924074793507,0.0
ABW,Aruba,2020,0.0,67327.0,0.0,2000,2022,0.0,12.164924074793507,0.0
ABW,Aruba,2022,0.0,66405.0,0.0,2000,2022,0.0,12.164924074793507,0.0
AUS,Australia,2000,0.165,16194873.0,26721.54045,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2002,0.165,16626336.0,27433.4544,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2004,0.145,17046218.0,24717.016099999997,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2006,0.125,17536551.0,21920.68875,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2008,0.105,18279705.0,19193.69025,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2010,0.085,18995744.0,16146.3824,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2012,0.065,19651972.0,12773.781799999999,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2014,0.045,20358615.0,9161.37675,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2016,0.035,21050112.0,7367.539200000001,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2018,0.035,21774643.0,7621.1250500000015,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2020,0.035,22384444.0,7834.555400000001,2000,2022,-0.13,40.31153563229548,-18768.3942
AUS,Australia,2022,0.035,22723275.0,7953.146250000002,2000,2022,-0.13,40.31153563229548,-18768.3942
AUT,Austria,2000,4.5,5349244.0,240715.97999999998,2000,2022,-4.45337,16.627770204537313,-237806.87232479997
AUT,Austria,2002,4.4,5405920.0,237860.48,2000,2022,-4.45337,16.627770204537313,-237806.87232479997
AUT,Austria,2004,4.4,5471610.0,240750.84000000003,2000,2022,-4.45337,16.627770204537313,-237806.87232479997
AUT,Austria,2006,4.4,5540047.0,243762.06800000003,2000,2022,-4.45337,16.627770204537313,-237806.87232479997
AUT,Austria,2022,0.04663,6238704.0,2909.1076752,2000,2022,-4.45337,16.627770204537313,-237806.87232479997
AZE,Azerbaijan,2000,50.94,4115417.0,2096393.4197999998,2000,2012,-24.013329999999996,21.539129570587864,-749563.9305385996
AZE,Azerbaijan,2002,44.93667,4185217.0,1880697.1520739,2000,2012,-24.013329999999996,21.539129570587864,-749563.9305385996
AZE,Azerbaijan,2004,38.93333,4342904.0,1690837.1459032,2000,2012,-24.013329999999996,21.539129570587864,-749563.9305385996
AZE,Azerbaijan,2006,32.93,4467456.0,1471133.2607999998,2000,2012,-24.013329999999996,21.539129570587864,-749563.9305385996
AZE,Azerbaijan,2008,26.92667,4650150.0,1252130.5450050002,2000,2012,-24.013329999999996,21.539129570587864,-749563.9305385996
AZE,Azerbaijan,2010,26.92667,4824586.0,1299100.3510862002,2000,2012,-24.013329999999996,21.539129570587864,-749563.9305385996
AZE,Azerbaijan,2012,26.92667,5001842.0,1346829.4892614002,2000,2012,-24.013329999999996,21.539129570587864,-749563.9305385996
BHR,Bahrain,2018,0.0,1503091.0,0.0,2018,2018,0.0,0.0,0.0
BGD,Bangladesh,2000,58.31077,31368347.0,18291124.6719719,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2002,57.66662,33501404.0,19319127.3393448,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2004,57.02246,35739263.0,20379406.9484698,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2006,56.3783,37989297.0,21417719.830551002,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2008,55.73415,40166815.0,22386632.9223225,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2010,55.08999,42198665.0,23247240.3286335,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2012,54.44584,44162100.0,24044426.30664,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2014,53.80168,46116983.0,24811711.6193144,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2016,53.15752,48043194.0,25538570.4591888,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2018,52.51337,49903270.0,26205888.817199003,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2020,51.86921,51746778.0,26840644.949053798,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BGD,Bangladesh,2022,51.50833,53650523.0,27634488.4335659,2000,2022,-6.802439999999997,71.03395024289931,9343363.761594001
BLR,Belarus,2009,0.004,7051542.0,282.06168,2009,2019,0.0,3.4678797913988175,9.781560000000013
BLR,Belarus,2019,0.004,7296081.0,291.84324000000004,2009,2019,0.0,3.4678797913988175,9.781560000000013
BEL,Belgium,2000,0.0,8407589.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2002,0.0,8540147.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2004,0.0,8677214.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2006,0.0,8845295.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2008,0.0,9042113.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2010,0.0,9258190.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2012,0.0,9495487.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2014,0.0,9638089.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2016,0.0,9796103.0,0.0,2000,2022,0.0,21.544024095373835,0.0
BEL,Belgium,2018,0.0,9928778.0,0.0,2000,2022,0.0,21.544024095373835,0.0
